grade,standard_income,income_least,income_under,full_contribution,employee_contribution
1,88000,,93000,16104.00,8052.00
2,98000,93000,101000,17934.00,8967.00
3,104000,101000,107000,19032.00,9516.00
4,110000,107000,114000,20130.00,10065.00
5,118000,114000,122000,21594.00,10797.00
6,126000,122000,130000,23058.00,11529.00
7,134000,130000,138000,24522.00,12261.00
8,142000,138000,146000,25986.00,12993.00
9,150000,146000,155000,27450.00,13725.00
10,160000,155000,165000,29280.00,14640.00
11,170000,165000,175000,31110.00,15555.00
12,180000,175000,185000,32940.00,16470.00
13,190000,185000,195000,34770.00,17385.00
14,200000,195000,210000,36600.00,18300.00
15,220000,210000,230000,40260.00,20130.00
16,240000,230000,250000,43920.00,21960.00
17,260000,250000,270000,47580.00,23790.00
18,280000,270000,290000,51240.00,25620.00
19,300000,290000,310000,54900.00,27450.00
20,320000,310000,330000,58560.00,29280.00
21,340000,330000,350000,62220.00,31110.00
22,360000,350000,370000,65880.00,32940.00
23,380000,370000,395000,69540.00,34770.00
24,410000,395000,425000,75030.00,37515.00
25,440000,425000,455000,80520.00,40260.00
26,470000,455000,485000,86010.00,43005.00
27,500000,485000,515000,91500.00,45750.00
28,530000,515000,545000,96990.00,48495.00
29,560000,545000,575000,102480.00,51240.00
30,590000,575000,605000,107970.00,53985.00
31,620000,605000,635000,113460.00,56730.00
32,650000,635000,,118950.00,59475.00
